cycle,timestamp,phase,service,p95_ms,throughput_rps,cpu_cores,replicas
43,2026-05-26T01:53:48.031064,FAULT_INJECTION,productcatalogservice,4744.67,5.7775,0.0,1
43,2026-05-26T01:53:48.031064,FAULT_INJECTION,checkoutservice,29000.0,0.0673,0.0,5
43,2026-05-26T01:53:48.031064,FAULT_INJECTION,cartservice,713.21,0.9624,0.0,1
43,2026-05-26T01:53:48.031064,FAULT_INJECTION,recommendationservice,4875.0,0.733,0.0,4
44,2026-05-26T01:54:36.359192,FAULT_INJECTION,frontend,29738.45,1.1743,0.0,5
44,2026-05-26T01:54:36.359192,FAULT_INJECTION,productcatalogservice,4743.55,6.0826,0.0,1
44,2026-05-26T01:54:36.359192,FAULT_INJECTION,checkoutservice,4875.0,0.0445,0.0,5
44,2026-05-26T01:54:36.359192,FAULT_INJECTION,cartservice,230.32,1.2409,0.0,1
44,2026-05-26T01:54:36.359192,FAULT_INJECTION,recommendationservice,4875.0,0.8412,0.0,4
45,2026-05-26T01:55:34.145835,FAULT_INJECTION,frontend,28828.27,0.8681,0.0,5
45,2026-05-26T01:55:34.145835,FAULT_INJECTION,productcatalogservice,4748.93,5.7235,0.0,1
45,2026-05-26T01:55:34.145835,FAULT_INJECTION,checkoutservice,9750.0,0.0886,0.0,5
45,2026-05-26T01:55:34.145835,FAULT_INJECTION,cartservice,232.15,0.9994,0.0,1
45,2026-05-26T01:55:34.145835,FAULT_INJECTION,recommendationservice,4875.0,0.7976,0.0,4
46,2026-05-26T01:56:32.623514,FAULT_INJECTION,frontend,28885.67,0.8451,0.0,5
46,2026-05-26T01:56:32.623514,FAULT_INJECTION,productcatalogservice,4733.99,5.5604,0.0,1
46,2026-05-26T01:56:32.623514,FAULT_INJECTION,checkoutservice,nan,0.0,0.0,5
46,2026-05-26T01:56:32.623514,FAULT_INJECTION,cartservice,192.89,0.8925,0.0,1
46,2026-05-26T01:56:32.623514,FAULT_INJECTION,recommendationservice,4875.0,0.7776,0.0,4
47,2026-05-26T01:57:32.707094,FAULT_INJECTION,frontend,29806.85,0.9667,0.0,5
47,2026-05-26T01:57:32.707094,FAULT_INJECTION,productcatalogservice,4738.69,5.7228,0.0,1
47,2026-05-26T01:57:32.707094,FAULT_INJECTION,checkoutservice,27990.15,0.0894,0.0,5
47,2026-05-26T01:57:32.707094,FAULT_INJECTION,cartservice,178.41,1.0031,0.0,1
47,2026-05-26T01:57:32.707094,FAULT_INJECTION,recommendationservice,4875.0,0.759,0.0,4
48,2026-05-26T01:58:30.851026,FAULT_INJECTION,frontend,28441.18,1.1787,0.0,5
48,2026-05-26T01:58:30.851026,FAULT_INJECTION,productcatalogservice,4754.88,5.8897,0.0,1
48,2026-05-26T01:58:30.851026,FAULT_INJECTION,checkoutservice,nan,0.0,0.0,5
48,2026-05-26T01:58:30.851026,FAULT_INJECTION,cartservice,184.37,1.1782,0.0,1
48,2026-05-26T01:58:30.851026,FAULT_INJECTION,recommendationservice,4875.0,0.9115,0.0,4
49,2026-05-26T01:59:16.900112,FAULT_INJECTION,frontend,28805.82,1.065,0.0,5
49,2026-05-26T01:59:16.900112,FAULT_INJECTION,productcatalogservice,4745.11,6.0947,0.0,1
49,2026-05-26T01:59:16.900112,FAULT_INJECTION,checkoutservice,9750.0,0.0881,0.0,5
49,2026-05-26T01:59:16.900112,FAULT_INJECTION,cartservice,313.03,1.0419,0.0,1
49,2026-05-26T01:59:16.900112,FAULT_INJECTION,recommendationservice,4875.0,0.6404,0.0,4
50,2026-05-26T02:00:11.394563,FAULT_INJECTION,frontend,28212.46,1.1644,0.0,5
50,2026-05-26T02:00:11.394563,FAULT_INJECTION,productcatalogservice,4752.55,5.2617,0.0,1
50,2026-05-26T02:00:11.394563,FAULT_INJECTION,checkoutservice,nan,0.0,0.0,5
50,2026-05-26T02:00:11.394563,FAULT_INJECTION,cartservice,391.78,0.8754,0.0,1
50,2026-05-26T02:00:11.394563,FAULT_INJECTION,recommendationservice,4875.0,0.7539,0.0,4
51,2026-05-26T02:01:19.600314,FAULT_INJECTION,frontend,28886.09,0.9145,0.0,5
51,2026-05-26T02:01:19.600314,FAULT_INJECTION,productcatalogservice,4741.23,5.6483,0.0,1
51,2026-05-26T02:01:19.600314,FAULT_INJECTION,checkoutservice,nan,0.0,0.0,5
51,2026-05-26T02:01:19.600314,FAULT_INJECTION,cartservice,215.95,0.8817,0.0,1
51,2026-05-26T02:01:19.600314,FAULT_INJECTION,recommendationservice,4875.0,0.7766,0.0,4
52,2026-05-26T02:02:28.963352,FAULT_INJECTION,frontend,28444.4,1.0125,0.0,5
52,2026-05-26T02:02:28.963352,FAULT_INJECTION,productcatalogservice,4742.58,5.3846,0.0,1
52,2026-05-26T02:02:28.963352,FAULT_INJECTION,checkoutservice,9750.0,0.0,0.0,5
52,2026-05-26T02:02:28.963352,FAULT_INJECTION,cartservice,221.24,0.9344,0.0,1
52,2026-05-26T02:02:28.963352,FAULT_INJECTION,recommendationservice,4875.0,0.7568,0.0,4
53,2026-05-26T02:03:16.756573,FAULT_INJECTION,frontend,28541.45,1.1787,0.0,5
53,2026-05-26T02:03:16.756573,FAULT_INJECTION,productcatalogservice,4742.07,6.0579,0.0,1
53,2026-05-26T02:03:16.756573,FAULT_INJECTION,checkoutservice,nan,0.0,0.0,5
53,2026-05-26T02:03:16.756573,FAULT_INJECTION,cartservice,243.41,1.1338,0.0,1
53,2026-05-26T02:03:16.756573,FAULT_INJECTION,recommendationservice,4875.0,0.7993,0.0,4
54,2026-05-26T02:04:06.341656,FAULT_INJECTION,frontend,28757.58,0.9558,0.0,5
54,2026-05-26T02:04:06.341656,FAULT_INJECTION,productcatalogservice,4749.09,5.8915,0.0,1
54,2026-05-26T02:04:06.341656,FAULT_INJECTION,checkoutservice,9750.0,0.0444,0.0,5
54,2026-05-26T02:04:06.341656,FAULT_INJECTION,cartservice,428.08,0.9573,0.0,1
54,2026-05-26T02:04:06.341656,FAULT_INJECTION,recommendationservice,4875.0,0.6927,0.0,4
55,2026-05-26T02:04:54.251541,FAULT_INJECTION,frontend,28660.05,1.0775,0.0,5
55,2026-05-26T02:04:54.251541,FAULT_INJECTION,productcatalogservice,4744.1,6.5449,0.0,1
55,2026-05-26T02:04:54.251541,FAULT_INJECTION,checkoutservice,nan,0.0,0.0,5
55,2026-05-26T02:04:54.251541,FAULT_INJECTION,cartservice,270.83,1.1253,0.0,1
55,2026-05-26T02:04:54.251541,FAULT_INJECTION,recommendationservice,4875.0,0.8186,0.0,4
56,2026-05-26T02:05:45.883479,FAULT_INJECTION,frontend,28356.61,1.0797,0.0,5
56,2026-05-26T02:05:45.883479,FAULT_INJECTION,productcatalogservice,4744.9,5.4751,0.0,5
56,2026-05-26T02:05:45.883479,FAULT_INJECTION,checkoutservice,nan,0.0,0.0,5
56,2026-05-26T02:05:45.883479,FAULT_INJECTION,cartservice,373.41,0.9819,0.0,1
56,2026-05-26T02:05:45.883479,FAULT_INJECTION,recommendationservice,4875.0,0.6487,0.0,5
57,2026-05-26T02:06:49.084635,FAULT_INJECTION,frontend,28629.33,1.0571,0.0,5
57,2026-05-26T02:06:49.084635,FAULT_INJECTION,productcatalogservice,4751.11,5.7626,0.0,5
57,2026-05-26T02:06:49.084635,FAULT_INJECTION,checkoutservice,nan,0.0447,0.0,5
57,2026-05-26T02:06:49.084635,FAULT_INJECTION,cartservice,352.95,1.202,0.0,1
57,2026-05-26T02:06:49.084635,FAULT_INJECTION,recommendationservice,4875.0,0.8699,0.0,5
58,2026-05-26T02:07:37.298900,FAULT_INJECTION,frontend,28922.08,0.9005,0.0,5
58,2026-05-26T02:07:37.298900,FAULT_INJECTION,productcatalogservice,4752.58,5.9708,0.0,5
58,2026-05-26T02:07:37.298900,FAULT_INJECTION,checkoutservice,29000.0,0.0444,0.0,5
58,2026-05-26T02:07:37.298900,FAULT_INJECTION,cartservice,259.45,1.0078,0.0,1
58,2026-05-26T02:07:37.298900,FAULT_INJECTION,recommendationservice,4875.0,0.8179,0.0,5
59,2026-05-26T02:08:33.676564,FAULT_INJECTION,frontend,28666.75,1.026,0.0,5
59,2026-05-26T02:08:33.676564,FAULT_INJECTION,productcatalogservice,4747.24,5.8972,0.0,5
59,2026-05-26T02:08:33.676564,FAULT_INJECTION,checkoutservice,nan,0.045,0.0,5
